sentimento,comentarios
neutral,apesar ter sido entregue rapidamente substituíram caixa meteoro caixa borne tentei reclamar lannister sistema estaav ar guitarra acessórios corretos
positive,satisfeito
positive,parabéns loja revendedor apesar ter demorado pouco
positive,entregue dentro prazo bom período validade
positive,jogo toalhas lindo bonito foto amei
negative,produto entregue umas alças problemas faltando pino fixação
negative,marcado dia entrega pedido rastreamento marcava produto havia sido entregue data mas realidade não entregue produto entregue dia
negative,loja além frete caro produto leva quase dias úteis chegar casa
negative,recebi bem rápido porém veio outro produto não pedi modelo veio diferente cor veio capinha não zíper enfim não recomendo
positive,sempre comprei stark satisfeito
positive,fiz compra tabela graças deus deu tudo certo fico grato pode confiar
negative,cancelaram compra dia antes entrega liguei lannister atendentes não sabiam acontecendo bagunça agora esperando ver vai cobrado
positive,produto qualidade eficiência entrega recebi antes combinado recomendo
positive,produto bom veio dentro prazo chegou dias parabéns
positive,tudo ok baratheon sempre responsável entregas
negative,acabento foto bonito chegou sintetico feio acabento todo borrado orrivel nao gostei
negative,desordenado comprei três produtos não veio dia sertões veio separado data separada
positive,entrega rapida
positive,bom
positive,mercadoria certa entregue prazo combinado grata
negative,ruim
negative,passou dias previstos
neutral,fazer compra kit entendi receberia frascos cápsulas cada não frascos cápsulas total não vou devolver porque precisando produto
positive,entrega bem antes prazo perfeito
positive,cada vez compro fico satisfeita parabéns honestidade clientes
positive,bem rapido entrega bom comprar vcs
negative,produto não recomendo não ler nenhum dispositivo
positive,entrega super rápida parabéns
positive,tudo rápido eficiente
positive,creme maravilhoso entrega super rápida
negative,tentando cancelar produto desde antes emissão nota fiscal não avisada correio não nenhuma resposta cancelamento nao consigo devolver
positive,chegou hoje comentários
negative,boa noite lamentável loja tantas compras ja fiz hoje não satisfação sequer relógio importância reais produto defeito agora não deu retor
positive,bom esperava
negative,capa protetora não exatamente esperava deixa desejar tipo material qualidade
neutral,site produto parece ter melhor qualidade material acabamento
positive,recebi produto corretamente dentro prazo verificando caixa tudo correto mas ainda não montei produto lindo cor perfeita amamos super recomendo
neutral,embalagem deixou desejar pouco produto não danificado caixa toda amassada
positive,parabéns produto entregue bem antes prazo atendeu necessidades
positive,recomendo
neutral,faltaram cabos manual
positive,ótimo chegou bem antes prazo
positive,entregue prazo produto bom
negative,produto embalado apenas papel pardo sobre embalagem enviado correios lógico embalagem chegou amassada deus sabe produto funcionando não ainda não testei
positive,acho q deveriam mandar sedex invés pac
negative,última vez compro pois hoje vai fazer mês fiz comprar nada demorar mas tempo entregar estarei procurando direitos contra lojas lannister targaryen
positive,lindo faltou instruções troca pulseiras
positive,produto exatamente conforme descrito chegou bem antes prazo
positive,produto chegou bem antes prazo estipulado amei atendimento super recomendo
negative,não gostei produto material péssima qualidade
negative,dois produtos comprados entregue apenas
negative,nao compro lannister parceiro lannister não targaryen jamais uso novamente ler dessa empresa saio correndo absurdo quase mês entregar extra ok
neutral,recebi corretamente produto
positive,recebi produto dentro prazo informado ainda não utilizei
positive,pedido chegou antes combinado bom
positive,produto entregue conforme anunciado
neutral,recebe apenas peça produto precisando peças restante
positive,loja
positive,violão comprei lindo porém cor adesivo não confere foto ato compra mas aprovei
negative,nem fizeram nota fiscal
positive,chegou antes prazo produto excelente
positive,trabalho profissionalismo lojas lannister indico certeza
negative,mp player não funciona trocando pilha diversas vezes devolver
positive,super recomendo produto bom
positive,pré treino bom melhores mercado não melhor
positive,loja postou produto mediato correio demorou pouco
positive,sempre compro stark sempre bem atendido site eficiente produtos ótima qualidade recomendo todos podem comprar olhos fechados
positive,bom desde compra entrega td direitinho rapido
positive,tudo ok
negative,targaryen não confiança não entregou compra colocou rastreamento pedido entregue dia empresa falsa quero receber produtos pagos boleto bancari
positive,entrega qualidade produto acordo esperado
positive,excelente recomendo
neutral,bolsa bonita mas dentro não forro bem fragil
negative,instalei cartucho tinta impressora indicou vazio apresentou mensagem erro cima marcador nível tinta solicitei troca
positive,bom recomendo produto
positive,quanto site não questionar sempre cumprem super combinado recomendo sempre mas produto fraco
positive,bom todos aspectos
positive,hoje satisfeito sbmarino
negative,não entregue duas capas couro compradas apenas aguardo devolução dinheiro entrega segunda capa
positive,gostei
neutral,fiquei feliz tecido mas acho faltou lençol cima ficar completo espero logo lancem
positive,chegou antes prazo cabeceira linda
neutral,alguma confusão vendedor stark pois recebi email stark pedindo cancelamento produto algum imprevisto entrega neguei recebi produto dias
positive,gostei produto chegou tempo certo vendedores parabéns
positive,atendimento excelente
positive,gostei
negative,dia maio usei alça quebrou peso
positive,toalha maior campeão brasil maravilhosa
positive,entrega realizado antes previsto bom produto satisfeita
positive,agora tudo bem esperando entrega produto
positive,compra ocorreu esperado desde pedido recebimento produto tudo bem certinho
positive,produto entregue antes prazo
positive,gostei produto exatamente boque esperava entrega dentro prazo parabéns recomendo loja
negative,comprei produto cor preta chegou cor vermelha
positive,segunda vez compro nesta loja super eficiente entrega rápida antes prazo contratado produto bem embalado nota obrigado
positive,otimo
negative,pensei mochila material resistente
negative,comprei produto veio outro mandei msg informando erro porém não obtive resposta obrigado
negative,produto demora muita chegar
neutral,so recebemos relogio correio att
positive,entrega rápida produto conforme esperado
positive,tudo anunciado ótimo produto
neutral,produto boa qualidade exatamente conforme anunciado preço baixo atrativo
negative,somente entregue unidade invés duas
positive,adorei produto recebi antes prazo combinado ficou bonito
positive,satisfeito
positive,otimo produto porem caro demais
positive,produtos otimos entrega rápida super recomendo
negative,recebi sim defeito encaixes sao dois igual nao fecham
negative,ainda não recebi
positive,pós venda excelente através sr renato
positive,gostei produto entrega veio antes prazo recomendo fica bem encaixado celular não tira elegância aparelho outras capas deixam monstruoso tamanho
negative,agora nao recebi comprei aparelho questao saude portanto nao recomendo loja
positive,recomendo todos produto ótima qualidade entregue problemas
positive,produto chegou dentro prazo veio conforme descrição excelente
positive,produto chegou antes prazo gostei bastante agora rapazinho aninhos vai aproveitar maximo
negative,gostaria saber chegará produto pois passou data prevista entrega gostaria resposta aguardando
positive,loja nota
positive,parabéns recebi antes prazo tudo correto combinado
negative,produto entregue difere pedido trata produto inferior gostaria solucionado problema não satisfeito procedimento
positive,bom
negative,comprei produto paguei boleto recebi metade produto anunciaram coisa mandaram outra insatisfeita
positive,entrega antes prazo produto bem conservado
positive,produto ótima qualidade adorei
positive,apesar demora expedir nota fiscal expedida entrega rápida produto veio bem embalado recomendo
negative,comprei produto dia inicio março não recebi prazo abrindo protocolo resolverem situação
negative,não recebi produto assim nenhum contato parte vendedor
negative,nem ratrear conseguindo
positive,nota
neutral,esperando instalador
negative,comprei produto entregue loja ainda não recebi pois assim passou data entrega
positive,ótimo serviço
positive,ótima compra ótimo produto senti falta algum comunicado compra chegada produto contato mas valeu
negative,veio conforme pedido pós venda não respondeu nenhuma perguntas
negative,comprei duas mochilas recebi apenas natal chegando agora nada
positive,perfeitos
neutral,preço ótimo prazo entrega longo mês entregar comprei cartuchos entregaram apenas reclamei enviaram outro ainda dentro prazo entrega
positive,prazo estendido porém entregue prazo divulgado propaganda cadeira conforme foto vem montar fácil linda
positive,simplesmente lindo adorei produto tamanho perfeito comprei várias produtos faz anos compro baratheon
positive,bom chegou dentro prazo
positive,otimo preço entregou antes prazo produto ótima qualidade
negative,comprei relogio presente natal filho ate agora nao chegou enviei mensagens ultima conversa relogio chegaria ontem porem nao recebi nada
positive,poderia entregar rápido fim ano
positive,otima venda tudo perfeito
positive,produto ótima qualidade chegou antes tempo esperado amei
positive,veio bem embalado envio rápido
positive,satisfeita compra recebimento produto dentro prazo
neutral,agora não recebi nada colcha prevista anteontem agora nada
negative,pincéis vieram amassados não condiz algumas fotos mas condiz descrição fracos não cabem case veio descolado
positive,produto correspondente expectativas entregue antes prazo estabelecido
positive,indico loja compro sempre lannister
negative,produto veio diferente q mostra foto não luxo nem acolchoado dizia
positive,tudo normal compra internet obrigado
positive,boa compra
positive,produto chegou dentro prazo atende custo benefício porém bolsa não forrada alça plástico satisfeita
positive,plenamente satisfeita aquisição recomendo única coisa não concordo valor frete autíssimo
neutral,comprei enviaram
negative,parece mantem bem alimento murchar batata palha mas tampa estranha parece não fecha inox tampa feio
negative,aguardando resposta hoje sobre produtos pagos ainda não recebi iguais necessito falar pessoas não máquina gravações
positive,entrega produto perfeito
positive,parabéns excelente atendimento qualidade
positive,produto entregue antecipadamente
positive,gostei comprar recebi produto antes prazo boa qualidade recomendo
positive,super recomendo stark sempre chegando antes dta prevista d
positive,correios não entregou
positive,entrega feita prazo produto perfeitas condicoes parabens equipe
neutral,ainda não recebi produto
negative,gostaria receber produtos corretos tentei realizar troca devolução dinheiro cartão mas site lannister não possibilita realizado
positive,produto perfeito entrega rápida satisfeitíssima
negative,produto veio defeito devolvi conforme informado postado correio conforme indicado hoje não recebi nenhuma notificação empresa quanto devolução análise ter meuressarcimento
positive,pedido chegou antes prazo obrigada
negative,recebemos cartucho abrimos reclamação site ainda não obtive resposta
positive,produto alta qualidade descrição confere produto entregue tempo certo recomendo
negative,tampo mesa chegou todo amassado batido
negative,dentro prazo porém poderiam agilizar outro produto entregue dias
positive,relógio lindo entrega rápida recomendo
positive,adorei pequeno fácil usar não arranha apela limpa pele recomendo
positive,sempre excelente serviço
negative,momento n recebir produto
positive,sempre lannister entrega certinho
positive,produto perfeito chegou antes prazo
positive,bom produto melhor esperava entregue prazo gostei bastante
negative,bom produto preço cobrado
positive,sdds
positive,bom produto recomendo
positive,entrega dentro prazo importante
positive,gostei objeto veio comprado comprei outras lojas veio outra cor ñ gostei lannister tudo ok
neutral,aparelho chegou apresentando defeito não apresentando todas funções visor digital
negative,produto não medidas corretas indicadas oferta q ligar vcs troca
negative,aguardo retorno urgente
negative,produto passou prazo entregar tento resolver problema empresa não consigo falar ninguém tudo fazem passar reclamar sistema não funciona
neutral,recebi produto consta recebi dois não recebi sapateira
negative,deram prazo grande entrega produto não conseguiram entregar prazo
negative,excelente produto indico qualquer pessoa
positive,tudo certinho entrega prazo ótimo
negative,não recebi produto agora
neutral,chegou amassado
positive,recomendo
negative,comprei tapete borracha tr mitsubishi loja entregou tapete pvc horrivel titulo ta tapete borracha tr enganaram agora fazer sendo despesa devoluçao
positive,ótimo perfume fragrância maravilhosa recomendo
positive,boa rapida produto veio bom estado agora fazer testes
positive,produto superou expectativa prazo entrega antecipado dias instalei ficou show
positive,previsão entrega recebi excelente
neutral,solicitei devolução produto defeito
positive,loja si boa pena americana nao suporte cliente
positive,exatamente precisava
neutral,achei qualidade produto ruim não veio nenhuma bucha parafuso fixar parede
positive,obrigada chegou mto rápido
positive,único problema marcação data marcação americana
positive,acho produto deveria ter prazo validade maior
positive,entrega antes prazo recomendo loja
positive,show
neutral,boa noite lojas lannister ótimas adoro site hoje faço pouquíssima compra frete abusivo infelizmente não compensa antes mas precisamos comprar obrigada
positive,excelente produto bonito sofisticado
positive,não veio nota fiscal
positive,agradeço pois recebi produto correto conforme encontrado site entrega super rápida fiquei satisfeito certeza vou recomentar amigo
positive,entrega rápida produto conforme anunciado
negative,produto ainda não entregue fiz reclamação agora não nenhuma previsão entrega super insatisfeito quero dinheiro volta denunciar procon
negative,cortina não modelo pedi
neutral,impressão saindo tinta fraquinha
negative,comprei rosa braços brancos entregam toda preta
negative,preciso previsão
positive,satisfeita chegou antes prazo super recomendo
positive,produto chegou antes prazo estipulado atendeu plenamente expectativas
positive,entrega dentro prazo produto nenhum problema
positive,bom
positive,boa qualidade preço
positive,sempre entrega antes prazo
positive,bom super recomendo entrega sempre certa
neutral,boas pessoal atendente lannister atenciosa porém loja deveria ter entregado produto cancelou comprar aconteceu
positive,entregue antes prazo produto perfeito
positive,recomendo todos não problema nenhum mercadoria prazo ótimos
positive,gostei ter comprado nesta loja atendimento perfeito
neutral,comprei cadeira recebi prazo porém cadeira veio quebrada parte inferior poderiam ter maior cuidado embalagem
positive,sempre compro sempre recebo produto certo prazo antes prazo
positive,entrega rapida
positive,produto entregue bem antes prazo adorei
positive,ainda nao instalei gostei
positive,bom produto entrega rápida recomendo
positive,produto recebido prazo perfeitas condições
positive,bom
negative,recebi outra boneca quero devolver não consigo contato jamais compraria novamente dessa loja
neutral,ótima compra mas frete nao compensa pesa orçamento devia ter frete grates
positive,n
positive,produto chegou imaginava enquanto gostando
positive,ótima rápida entrega obrigado
negative,penso deveria modo comunicar empresa caso acontecesse encomenda não entregue
positive,produto bom prazo bom
positive,bom segundo objeto compro recebi problema nenhum
positive,bonito boa qualidade adorei
positive,produto chegou antes prazo
negative,boa noite não gostei pois nunca conseguimos falar vcs telefone
positive,vendedor compromisso vou cliente
neutral,produto não atendeu espectativas pois potinhos dificeis abrir fechar bandeja onde vai potinhos veio pontos ferrugem
positive,satisfeito entrega super rápida show parabéns vacilei comprei celular casas bahia quase mês não entregaram
positive,ótimo
positive,tudo cento prazo recomento
negative,não recebi jogo cor tabaco vermelho
negative,nao entregue casa nao gostei nao tempo indo correios
positive,compra perfeita
negative,produto veio estragado
negative,mercadoria não entregue paguei primeira fatura quero cancelar compra pois paguei frete não recebi mercadoria
negative,produto ja chegou defeito não fucionou conforme necessidade uso infelizmente ultima compra totalmente insatisfeito
neutral,recebi apenas caixa unidades pedi caixas
negative,comprei dois pendentes chegou preciso saber
positive,recomendo loja entrega direitinho
positive,tudo conforme entrega rápida pena não verifiquei cor pois preta precisava cinza outro ponto lixar pouco funcionar mas nada demais
positive,entrega rapida correta
positive,produto fácil montagem atende perfeitamente propósito otimizar espaço
negative,produto veio amassados não funcionando corretamente
positive,gostei produto
positive,produto ótima qualidade
negative,esperando vinte dias ainda não recebi produto não consigo nenhuma informação
negative,aguardando posição empresa fazer devolução produto
negative,fornecedor não enviou produto correto solicitei sabor chocolate enviado outro sabor
positive,recomendo loja
positive,ótimo produto
positive,excelente
positive,continuem assim responsabilidade consumidor tanto produto quanto prazo entrega primeira vez compro vou comprar muitas obrigado
positive,adorei moderno bonito cantinho café vai ficar top
positive,bom esperava
positive,tudo correu combinado nada reclamar
positive,fácil manuseio presente atende expectativas
positive,relógio lindo entrega antes prazo
positive,veio conforme anunciado simples bonita
positive,produto condiz anúncio
negative,produto ainda não chegou
positive,satisfeito recomendo
positive,amei chegou rapidinho ainda vou testa lo obrigado
positive,gostei comprei vcs obrigada breve farei outras compras vanda
negative,ainda não recebi produto
positive,recebi bolsa diferente mas gostei previsto pra janeiro achando tempo porque pra escola aguardando vale compra primeira compra bolsa não deu certo
positive,recebi produto queria antes prazo combinado bom recomendo certeza
neutral,propaganda escrito mixer elétrico veio portátil três quebrou queria elétrico devem especificar melhor produtos
positive,produto entregue antes prazo combinado não primeira vez compro site lojas lannister recomendo tal empresa seriedade trato clientes
negative,comprei produtos so mandaram n mim deram nenhuma justificativa
positive,agradeço bom
positive,dentro previsto
positive,recebi antes prazo estimado
positive,imaginei maior boneca legal
negative,problema entrega pois não ninguém casa receber mercadoria horário passaram
positive,atenciosos ligam dar acompanhamento bom prazo validade demorou chegar agora verificar qualidade produto
positive,eficiente entregou bem rápido recomendo
neutral,lindo relógio
positive,otimo produto entrega prazo
positive,chegou antes data prazo porem vazou pouco produto
positive,sempre compro itens chega perfeito estado
positive,produto entregue antes prazo ótimo estado
neutral,bom
positive,entrega super rápida produto ótima qualidade recomendo
positive,produto lindo ótimo
positive,excelente
neutral,esperava toalhas poderiam grossas
positive,entrega dia antes previsto
positive,demora pouco pra esquentar potência máxima mas atende bem rimeiros dias uso cheiro meio borracha queimada mas passa recomendo praticidade custo benefício
positive,entregue bem embalado entrega rapido comforme prometido comforme imagem
positive,tudo ocorreu forma eficiente
positive,produto chegou antes prazo perfeitas condições
negative,produto não corresponde comprei película menor tela celular não cobre toda tela
positive,produto conforme anunciado veio antes prazo perfeito
positive,produto bom entregue antes previsto
positive,ainda não usei nenhuma viagem mas parece boa
negative,produto encaminhado cidade destino dia momento não recebi
negative,produto não entregue
negative,simplesmente não recebi produto nao posicionamento decente acontecerá
negative,não recebi braço ducha desviador somente ducha x braço cm
positive,adoro comprar lojas lannister
positive,entrega rápido produto excelente
positive,ótimo
negative,produto pode mal funcionamento telefone não conseguindo fazer leitura
positive,produto entregue
negative,loja vergonha não entregaram pedido descaração duerem cancelei porcaria vendedor stark escolheu mal paeceiro
positive,bom
positive,recebi produto eh falso quero dinheiro volta
negative,produto não veio conforme site mostrava calendário site mas recebi veio difícil fazer troca estorno produto
positive,produto bom entrega antes prazo
positive,bom
positive,gostei
negative,comprei dois produtos sendo não chegou cabo adaptador áudio
positive,gostei chegou tudo certinho antes prazo entrega
positive,produto entregue dentro prazo
negative,fornecedor targaryen mandou massageador completamente diferente comprei preço inferior cheio avaliações negativas ninguém erra mandando superior né curioso n recomendo
positive,recebi produto prazo tudo ok
negative,ruim não veio produto outro veio errado
negative,abri protocolo devolução produto baixa qualidade deu problema primeiro dia uso lannister virou mercado livre pedidos problemas
positive,entrega prazo descrito site
positive,lannister sempre superandoo
positive,surpreendido eficácia ótimo atentimento
positive,otimo atendimento tudo certo entregue dentro prazo
positive,obrigada qualidade produto entrega tbm previsto chegou dia adorei parabéns
negative,mercadoria não entregue ainda
positive,ainda não utilizei produto
negative,recebi encomenda forma normal dentro prazo contudo recebi primeira data entrega estimada posterior data aumentando não gostei dessa atitude demorou semanas
negative,pedi q cancelacem antes nf emitida pq havia ganhado presente igual não cancelaram mandaram assim msm pedi nf ainda não sido emitida
positive,linda deu charme sala
positive,ótimo atendimento entrega antes prazo
neutral,não recebi produto completo comprei quantidade recebi somente consta nota entrega quantidade volume quero receber outra custo nenhum pois erro não
positive,recomendo
neutral,bolsas lindas cor bem próxima foto mas dentro não forro descrição acabamento deixou pouco desejar entrega super rápida
negative,preciso urgente desta mercadoria prazo maximo dia agora não chegou
positive,otimo material bem resistente espaçosa gostei
positive,prestação serviços alta qualidade
negative,produto muita baixa qualidade
positive,produto entregue bem embalado perfeitas condições
negative,demorou mas entregou
neutral,compra efetuada dois ursos rezam rosa azul recebi somente produtos adquiri rosa aguardando retorno vendedor sobre ocorreu vou receber outro
negative,produto defeito apresenta risco não confiável eviei mail efetuei ligações retorno
neutral,modo geral satisfatório gravação laser mas justamente laser deixa desejar quanto centralização pingente marca bem qualidade gravação
positive,chegou antes data prevista recomendaria amigos loja stark parabéns
positive,tapete lindo chegou antes prazo
positive,gostei
positive,poderia ter agilizado entrega porém recebi produto ótimas condições
positive,protudo chegou ótimo estado conservação antes prazo
positive,produto excelente qualidade entrega feita antes prazo previsto satisfeita
positive,produto lindo preço excelente entrega super rápida ocorrendo antes prazo recomendo quarto ficou irado
neutral,produto veio nota fiscal solicitar telefone
neutral,produto não bom
positive,satisfeito recomendo
positive,podem comprar medo
positive,gosto comprar nessa loja porque agente ñ precisa avisar entrega
positive,excelente produto
positive,produto entregue prazo nota
negative,descrição produto errada não consegui usar produto pedi cancelamento fazem dias ainda não obtive resposta
positive,bom exelente
positive,atendimento eficaz entrega dentro prazo
positive,chegou pouco antes prazo bom
positive,gostei demais travesseiro descrito site
positive,super recomendo entrega produtos ok
negative,pontualidade não satisfação cliente
positive,satisfeito aquisição negócio entrega prazo produto bem embalado nota fiscal caixa original garantia manual usuário primeiras impressões relógio perfeito
positive,atendeu expectativas
positive,bom encomenda chegou certinha
negative,mosquiteiro veio dois furos parte superior pedir mosquiteiro king porem nao veio kiung sim queem
neutral,bom
positive,produto chegou rapidamente conforme anunciado
negative,produto baixa qualidade
positive,produto qualidade preço justo entrega dentro prazo produto atendeu expectativas recomendo vendedor
negative,enviado produto errado
negative,efetuei compra pagamento duas unidades recebi apenas unidade aguardando tratativa
positive,adorei produto chegou antes prazo estipulado satisfeita
positive,tudo ok
neutral,quadro entregue correios chegou madeira atrás quebrada tela quadro danificada afundada chegou avariado produto
negative,produto importado veio defeito
positive,produto simples bonito
positive,gostei agilidade entrega
positive,esperava maior pouco
neutral,produto razoavel envio produto embalagem propria chegou td amassado quase q danificou
positive,produto chegou antes prazo bem embalado fornecedor avarias qualidado produto boa
neutral,gostaria saber dia correto entrega
positive,produtos bons
positive,otimo produto
negative,bom dia comprei bebedouro vermelho metálico recebi bebedouro rosa obs cachorro macho
negative,não entregue primeira vez acontece
positive,produto demorou mês entregue tempo demais poderia ter chegado antes data limite tudo ok
negative,comprei unidades produto veio avariado visto embalagem fraca sendo veio dois buracos fundo panela devido pressão dog colocado cima
positive,acho poderia ter comprado cartuchos mas não fiz porque cada cartucho veio frete diferente coisa poderiam colocados único pacote baratearia frete
neutral,comprei lannister tratar loja confiança porém chegar produto descobri vendido marca targus verdade produto falsificado não confio
positive,excelente serviço
negative,pedido cancelado assim loja enviou produto devolvi produto quero estorno compra cartão crédito
negative,comprei jogo panelas panelas panela pressão vermelho panelas tipo oval recebi jogo panelas jogo espátulas pretos coisa não pedi veio apenas frideira
positive,comprei dia recebi outro mercadoria excelente
negative,não gostei qualidade enchimento almofadas
positive,conforme solicitei preciso fazer devolução não entregue prazo precisa solicitei aqui entrei contato vendedor aguardo fazer devolução
positive,gostaei rapidez entrega
negative,quero saber demais produtos itens
positive,parabéns
negative,não posso dar opinião sobre produto pois não recebi sobre loja não recomendo pois atrasa entregas
positive,produto chegou prazo perfeitas condiçoes veio embalado forma incrivel bem embalado chegou nenhum arranhao
negative,não recebi produto
positive,comprei dois produtos iguais pagar dois fretes empresa poderia ter colocado única embalagem cobrar apenas frete produto entregue perfeitas condições ótimo produto
positive,ótimo produto
neutral,produto qualidade entrega demorada
positive,entrega muita rápida produto ótimo estado
positive,gostaria saber produto mudou embalagem pois comprei embalagem vermelha recebi outra embalagem toda florida preciso saber produto
positive,lavabo bem bonito igual descrição veio mancha bem pequena mas nada problema recomendo
negative,produto entregue totalmente diferente comprado
positive,ótimo tds aspectos
negative,ainda aguardando
positive,aida nao recebi produto
positive,recebi antes data prometida recomendo loja
positive,demorou quase trinta dias tempo demais
negative,depende possa avaliar resolverem problema pos compra correios entregarão pacote contendo peneus
positive,gostei
positive,bom
negative,boa tarde problemas pedido sim veio mosqueteiro errado pedi tamanho queen arrastasse chão círculo cima bem grande veio pequeno cama casal nor
positive,ate agora tudo perfeito produto entrega prazo
negative,comprei relógios mas entregue
positive,produto ok recebido dentro prazo bem antes previsto
negative,entrega antecipado umas panelas pressão veio suporte quebrado
positive,tudo ok
positive,ótimo produto recomendo
negative,entrega demorada comprei agora não recebi produtos
positive,produto chegou conforme anunciado gostei
positive,dentro prazo informacoes encaminhamento produto forma clara
positive,excelente recomendo
negative,produto enteque veio errado
negative,não recebi produto produto consta enviado correio ribeirão preto correio não recebeu produto envie varias mensagem targaryen não obtive targaryen sujando nome
positive,gostei
negative,produto veio especificação calota vendida símbolo citroën mas calota veio símbolo
negative,então conprei gostei mas nao tudo nao achei q melhor
positive,loja confiança chegou praso
positive,amei produto super fácil manusear lannister parabéns pois chegou bem antes prazo
positive,super recomendo produtos lindos
negative,pedi duas carteiras veio defeito outra veio errada ñ q pedi pedi reembolso creio q correrá bem
neutral,motor ótimo não vem cremalheiras junto
positive,gostei produto entrega rápida
