sentimento,comentarios
neutral,ao fazer a compra do kit entendi que receberia frascos de cápsulas cada e não frascos com cápsulas no total só não vou devolver porque estou precisando do produto
positive,entrega bem antes do prazo perfeito
positive,cada vez que compro mais fico satisfeita parabéns pela honestidade com seus clientes
positive,bem rapido a entrega e bom comprar com vcs
negative,produto não recomendo não ler em nenhum dispositivo
positive,entrega super rápida parabéns
positive,tudo rápido e eficiente
positive,creme maravilhoso e entrega super rápida
negative,tentando cancelar o produto desde antes da emissão da nota fiscal não fui avisada que estava no correio não tive nenhuma resposta do cancelamento e nao consigo devolver
positive,chegou hoje sem comentários
negative,boa noite é lamentável esta loja que tantas compras eu ja fiz e hoje não me da satisfação sequer de um relógio na importância de reais um produto com defeito e até agora não me deu retor
positive,muito bom aquilo que esperava
negative,a capa protetora não é exatamente o que eu esperava deixa a desejar no tipo material e na qualidade
neutral,no site o produto parece ter melhor qualidade de material e acabamento
positive,recebi meu produto corretamente e dentro do prazo verificando na caixa esta tudo correto mas ainda não montei produto lindo cor perfeita amamos super recomendo
neutral,a embalagem deixou a desejar por pouco o produto não foi danificado a caixa estava toda amassada
positive,parabéns produto entregue bem antes do prazo atendeu às minhas necessidades
positive,recomendo
neutral,faltaram os cabos e o manual
positive,ótimo chegou bem antes do prazo
positive,entregue no prazo produto muito bom
negative,o produto foi embalado apenas com papel pardo sobre a embalagem e enviado pelos correios lógico a embalagem chegou amassada e só deus sabe se o produto está funcionando ou não ainda não testei
positive,acho q deveriam mandar por sedex ao invés de pac
negative,última vez que compro pois hoje vai fazer mês que fiz a comprar e nada e se demorar mas tempo de entregar estarei procurando meus direitos contra as lojas lannister e a targaryen
positive,lindo só faltou instruções da troca de pulseiras
positive,produto exatamente conforme descrito chegou bem antes do prazo
positive,o produto chegou bem antes do prazo estipulado amei o atendimento super recomendo
negative,não gostei do produto material de péssima qualidade
negative,dos dois produtos comprados foi entregue apenas um
negative,nao compro mais na lannister se é parceiro da lannister ou não essa targaryen jamais uso novamente quando eu ler que é dessa empresa saio correndo um absurdo quase um mês para entregar extra com ok
neutral,recebi corretamente o produto
positive,recebi o produto dentro do prazo informado ainda não utilizei
positive,o pedido chegou antes do combinado muito bom
positive,produto entregue conforme anunciado
neutral,recebe apenas peça do produto estou precisando da peças restante
positive,loja
positive,o violão que comprei é lindo porém a cor do adesivo não confere com a foto do ato da compra mas aprovei
negative,nem fizeram a nota fiscal
positive,chegou antes do prazo produto excelente
positive,trabalho com profissionalismo das lojas lannister indico com certeza
negative,o mp player não funciona mesmo trocando a pilha diversas vezes tive que devolver
positive,super recomendo o produto que é muito bom
positive,pré treino muito bom um dos melhores do mercado se não for o melhor
positive,a loja postou o produto de e mediato o correio demorou um pouco
positive,sempre compro no stark e sempre sou bem atendido site eficiente e produtos de ótima qualidade recomendo a todos podem comprar de olhos fechados
positive,muito bom desde da compra a entrega td direitinho e rapido
positive,tudo ok
negative,a targaryen não é de confiança não entregou a minha compra e colocou no rastreamento do pedido que foi entregue no dia empresa falsa quero receber meus produtos que foram pagos com boleto bancari
positive,entrega e qualidade do produto de acordo com o esperado
positive,excelente recomendo
neutral,a bolsa e muito bonita por fora mas dentro não tem forro e é bem fragil
negative,quando instalei o cartucho de tinta a minha impressora indicou que o mesmo estava vazio e apresentou a mensagem de erro em cima do marcador de nível da tinta já solicitei a troca
positive,muito bom recomendo o produto
positive,quanto ao site não tenho o que questionar sempre cumprem super o combinado recomendo sempre mas o produto é fraco
positive,bom em todos os aspectos
positive,até hoje estou satisfeito com a sbmarino
negative,não foram entregue as duas capas de couro compradas apenas uma delas aguardo a devolução do dinheiro ou a entrega da segunda capa
positive,gostei
neutral,fiquei feliz com o tecido mas acho que faltou o lençol de cima para ficar completo espero que logo lancem
positive,chegou antes do prazo é a cabeceira é linda
neutral,houve alguma confusão entre vendedor e o stark pois recebi um email do stark pedindo o cancelamento do produto por algum imprevisto na entrega neguei e recebi o produto dias depois
positive,gostei do produto chegou no tempo certo os vendedores estão de parabéns
positive,atendimento excelente
positive,gostei
negative,no dia de maio usei e a à alça quebrou sem muito peso
positive,toalha do maior campeão do brasil maravilhosa
positive,a entrega foi realizado muito antes do previsto bom produto estou satisfeita
positive,até agora tudo bem estou esperando a entrega do produto
positive,a compra ocorreu como o esperado desde de o pedido até o recebimento do produto tudo bem certinho
positive,o produto foi entregue antes do prazo
positive,gostei muito do produto era exatamente boque eu esperava entrega dentro do prazo parabéns recomendo a loja
negative,comprei o produto na cor preta e chegou na cor vermelha
positive,já é a segunda vez que compro nesta loja super eficiente entrega rápida e antes do prazo contratado produto bem embalado nota muito obrigado
positive,otimo
negative,pensei que a mochila fosse um material mais resistente
negative,comprei um produto e veio outro mandei msg informando o erro porém não obtive resposta obrigado
negative,o produto demora muita para chegar
neutral,so recebemos um relogio pelo correio att
positive,entrega rápida produto conforme esperado
positive,tudo como anunciado ótimo produto
neutral,produto de boa qualidade exatamente conforme anunciado e o preço baixo é uma atrativo a mais
negative,somente foi entregue uma unidade ao invés de duas
positive,adorei o produto recebi antes do prazo combinado ficou muito bonito
positive,muito satisfeito
positive,otimo produto porem caro demais
positive,produtos otimos entrega rápida super recomendo
negative,recebi sim mais com defeito os encaixes sao dois igual e nao fecham
negative,ainda não recebi
positive,tive um pós venda excelente através do sr renato
positive,gostei muito do produto a entrega veio antes do prazo recomendo fica bem encaixado no celular não tira a elegância do aparelho como outras as capas que deixam monstruoso com o tamanho
negative,até agora nao recebi comprei este aparelho por questao de saude portanto nao recomendo esta loja
positive,recomendo a todos produto de ótima qualidade entregue sem problemas
positive,produto chegou dentro do prazo veio conforme descrição e é excelente
positive,o produto chegou antes do prazo e gostei bastante agora meu rapazinho de aninhos vai aproveitar ao maximo
negative,gostaria de saber quando chegará meu produto pois já se passou a data prevista para entrega gostaria de uma resposta estou aguardando
positive,loja nota
positive,parabéns recebi antes do prazo tudo correto como foi combinado
negative,o produto entregue difere do pedido trata se de um produto inferior gostaria que fosse solucionado o problema não estou satisfeito com procedimento
positive,muito bom mesmo
negative,comprei o produto paguei no boleto e só recebi metade do produto anunciaram uma coisa é mandaram outra muito insatisfeita
positive,entrega antes do prazo produto muito bem conservado
positive,produto de ótima qualidade adorei
positive,apesar da demora em expedir a nota fiscal depois de expedida a entrega foi rápida e o produto veio bem embalado recomendo
negative,comprei o produto dia em inicio de março e não recebi no prazo abrindo até um protocolo para resolverem minha situação
negative,não recebi o produto assim como nenhum contato por parte do vendedor
negative,nem ratrear estou conseguindo
positive,nota
neutral,esperando o instalador
negative,comprei um produto para ser entregue por essa loja e ainda não recebi pois assim já se passou a data de entrega
positive,ótimo serviço
positive,ótima compra ótimo produto só senti falta de algum comunicado entre a compra e a chegada do produto só contato mas valeu
negative,veio conforme o pedido mais o pós venda não respondeu nenhuma das minhas perguntas
negative,comprei duas mochilas recebi apenas uma o natal está chegando e até agora nada
positive,perfeitos
neutral,o preço foi ótimo o prazo de entrega que é longo mais de mês para entregar comprei cartuchos e entregaram apenas reclamei e enviaram o outro ainda dentro do prazo de entrega
positive,prazo foi estendido porém entregue no prazo divulgado na propaganda cadeira conforme foto vem para montar mais fácil e linda
positive,simplesmente lindo adorei o produto tamanho perfeito já comprei várias produtos já faz anos que compro no baratheon
positive,muito bom chegou dentro do prazo
positive,otimo preço entregou antes do prazo e produto de ótima qualidade
negative,comprei um relogio de presente de natal para meu filho e ate agora nao chegou enviei mensagens e na ultima conversa o relogio chegaria ontem porem nao recebi nada
positive,só poderia entregar mais rápido fim de ano
positive,otima venda tudo perfeito
positive,produto de ótima qualidade chegou antes do tempo esperado amei
positive,veio bem embalado envio rápido
positive,estou muito satisfeita com a minha compra e com o recebimento do produto dentro do prazo
neutral,até agora não recebi nada a colcha estava prevista para anteontem e até agora nada
negative,os pincéis vieram amassados não condiz com algumas fotos mas condiz com a descrição são fracos não cabem na case e um veio descolado
positive,produto correspondente as minhas expectativas foi entregue antes do prazo estabelecido
positive,indico a loja compro sempre na lannister
negative,o produto veio diferente da q mostra na foto não é de luxo nem acolchoado como dizia
positive,foi tudo normal como é mesmo uma compra por internet obrigado
positive,boa compra
positive,produto chegou dentro do prazo atende pelo custo benefício porém a bolsa não é forrada e a alça é de plástico estou satisfeita
positive,estou plenamente satisfeita com minha aquisição e recomendo a única coisa que não concordo é com o valor de frete autíssimo
neutral,comprei só enviaram
negative,parece que mantem bem o alimento sem murchar batata palha mas a tampa é estranha parece que não fecha e o inox da tampa é feio
negative,estou aguardando uma resposta até hoje sobre os meus produtos já foram pagos e ainda não os recebi foram iguais e necessito falar com pessoas e não máquina ou gravações
positive,entrega e produto perfeito
positive,parabéns pelo excelente atendimento de qualidade
positive,produto entregue antecipadamente
positive,gostei de comprar recebi o produto antes do prazo e de boa qualidade recomendo
positive,super recomendo stark sempre chegando antes da dta prevista d
positive,correios não entregou
positive,entrega feita no prazo e produto em perfeitas condicoes parabens a equipe
neutral,ainda não recebi o produto
negative,gostaria de receber os produtos corretos tentei realizar a troca pela devolução de dinheiro no cartão mas o site da lannister não possibilita que seja realizado
positive,produto perfeito entrega rápida estou satisfeitíssima
negative,meu produto veio com defeito devolvi conforme informado postado no correio conforme indicado e até hoje não recebi nenhuma notificação da empresa quanto a devolução e análise para ter meuressarcimento
positive,o pedido chegou antes do prazo obrigada
negative,só recebemos cartucho já abrimos reclamação no site e ainda não obtive resposta
positive,produto de alta qualidade descrição confere com o produto entregue no tempo certo recomendo
negative,o tampo da mesa chegou todo amassado e batido
negative,dentro do prazo porém poderiam agilizar como no meu outro produto que foi entregue em dias
positive,o relógio é lindo e a entrega foi muito rápida recomendo
positive,adorei pequeno fácil de usar não arranha apela e limpa a pele recomendo
positive,como sempre excelente serviço
negative,até o momento eu n recebir o produto
positive,como sempre lannister entrega certinho
positive,produto perfeito chegou antes do prazo
positive,muito bom o produto melhor que esperava e foi entregue no prazo gostei bastante
negative,muito bom o produto e preço cobrado
positive,sdds
positive,muito bom o produto recomendo
positive,entrega dentro do prazo isso é importante
positive,gostei muito o objeto veio o mesmo comprado já comprei em outras lojas e veio outra cor ñ gostei com lannister tudo ok
neutral,o aparelho chegou apresentando defeito não está apresentando todas as funções no visor digital
negative,o produto não está nas medidas corretas indicadas na oferta terei q ligar para vcs para troca
negative,no aguardo de um retorno urgente
negative,produto mais que passou do prazo de entregar tento resolver o problema com a empresa e não consigo falar com ninguém tudo que fazem é me passar para reclamar num sistema que não funciona
neutral,só recebi um produto consta que já recebi os dois não recebi a sapateira
negative,deram um prazo muito grande para a entrega do produto e não conseguiram entregar no prazo
negative,excelente produto indico a qualquer pessoa
positive,tudo certinho entrega no prazo ótimo
negative,não recebi o produto e agora
neutral,chegou amassado
positive,recomendo
negative,comprei tapete de borracha para tr mitsubishi a loja entregou um tapete de pvc horrivel no titulo ta tapete borracha tr me enganaram e agora o que fazer sendo que tem despesa para devoluçao por
positive,ótimo perfume fragrância maravilhosa recomendo
positive,muito boa e rapida e o produto veio em bom estado agora e mesmo fazer os testes
positive,o produto superou minha expectativa o prazo de entrega foi antecipado em dias já instalei e ficou show
positive,previsão de entrega até recebi em excelente
neutral,solicitei devolução produto com defeito
positive,loja em si é boa pena a americana nao da suporte ao cliente
positive,exatamente o que eu precisava
neutral,achei a qualidade do produto muito ruim não veio nenhuma bucha ou parafuso para fixar na parede
positive,obrigada chegou mto rápido
positive,o único problema é que a marcação de data é a marcação americana
positive,acho que o produto deveria ter um prazo de validade maior
positive,entrega antes do prazo recomendo essa loja
positive,show
neutral,boa noite as lojas lannister são ótimas adoro o site hoje faço pouquíssima compra pelo frete abusivo infelizmente não compensa como antes mas precisamos comprar obrigada
positive,excelente produto bonito e sofisticado
positive,não veio a nota fiscal
positive,agradeço muito pois recebi o produto correto conforme encontrado no site a entrega foi super rápida fiquei muito satisfeito e com certeza vou recomentar para os amigo
positive,entrega rápida produto conforme anunciado
negative,meu produto ainda não foi entregue já fiz minha reclamação e até agora não tive nenhuma previsão de entrega estou super insatisfeito e quero meu dinheiro de volta foi denunciar ao procon
negative,a cortina não é o modelo que pedi
neutral,a impressão está saindo com a tinta fraquinha
negative,comprei rosa com braços brancos e entregam toda preta
negative,preciso de uma previsão
positive,estou muito satisfeita chegou antes do prazo super recomendo
positive,produto chegou antes do prazo estipulado e atendeu plenamente minhas expectativas
positive,entrega dentro do prazo produto sem nenhum problema
positive,bom
positive,boa qualidade e preço
positive,sempre entrega antes do prazo
positive,muito bom super recomendo entrega sempre certa
neutral,boas pessoal a atendente da lannister foi muito atenciosa porém a loja que deveria ter me entregado o produto cancelou a comprar o que será que aconteceu
positive,entregue antes do prazo produto perfeito
positive,recomendo para todos não tive problema nenhum mercadoria e prazo ótimos
positive,gostei de ter comprado nesta loja atendimento perfeito
neutral,comprei uma cadeira recebi no prazo porém a cadeira veio quebrada na parte inferior poderiam ter um maior cuidado na embalagem
positive,sempre compro e sempre recebo o produto certo no prazo ou antes do prazo
positive,entrega muito rapida
positive,o produto foi entregue bem antes do prazo adorei
positive,ainda nao instalei mais gostei muito
positive,bom produto entrega rápida recomendo
positive,produto recebido no prazo e em perfeitas condições
positive,muito bom
negative,recebi outra boneca quero devolver e não consigo contato jamais compraria novamente dessa loja
neutral,ótima compra mas o frete nao compensa pesa no orçamento devia ter frete grates
positive,n a
positive,o produto chegou como eu imaginava por enquanto estou gostando
positive,ótima rápida na entrega obrigado
negative,penso que deveria haver um modo de se comunicar com a empresa caso acontecesse de encomenda não ser entregue
positive,produto bom prazo bom
positive,muito bom já é o segundo objeto que compro e recebi sem problema nenhum
positive,bonito e de boa qualidade adorei
positive,o produto chegou antes do prazo
negative,boa noite não gostei pois nunca conseguimos falar com vcs pelo telefone
positive,vendedor compromisso do vou o cliente
neutral,o produto não atendeu minhas espectativas pois os potinhos são dificeis de abrir e fechar e a bandeja onde vai os potinhos veio com pontos de ferrugem
positive,muito satisfeito entrega super rápida show parabéns eu vacilei e comprei um celular nas casas bahia tem quase um mês e não entregaram
positive,ótimo
positive,tudo cento e no prazo recomento
negative,não recebi o jogo na cor tabaco só o vermelho
negative,nao foi entregue na minha casa por isso nao gostei nao tenho tempo de esta indo nos correios
positive,compra perfeita
negative,o produto veio estragado
negative,minha mercadoria não foi entregue já paguei a primeira fatura quero cancelar a compra pois paguei o frete e não recebi a mercadoria
negative,produto ja chegou com defeito não fucionou conforme minha necessidade de uso infelizmente ultima compra minha totalmente insatisfeito
neutral,recebi apenas caixa com unidades e pedi caixas
negative,comprei dois pendentes só chegou um preciso saber o que foi que houve
positive,recomendo esta loja entrega direitinho
positive,tudo conforme e entrega muito rápida que pena que não verifiquei a cor pois era preta e precisava de cinza outro ponto que tive que lixar pouco para funcionar mas nada demais
positive,entrega rapida e correta
positive,produto de fácil montagem e atende perfeitamente ao propósito para otimizar espaço
negative,produto veio com amassados e também não está funcionando corretamente
positive,gostei do produto
positive,produto de ótima qualidade
negative,estou esperando há mais de vinte dias e ainda não recebi meu produto e não consigo nenhuma informação
negative,estou aguardando posição da empresa para fazer a devolução do produto
negative,fornecedor não enviou o produto correto solicitei o sabor chocolate e me foi enviado outro sabor
positive,recomendo está loja
positive,ótimo produto
positive,excelente
positive,continuem assim com essa responsabilidade com o consumidor tanto no produto quanto no prazo de entrega primeira vez que compro e vou comprar muitas obrigado
positive,adorei moderno bonito meu cantinho do café vai ficar top
positive,bom foi o que esperava
positive,tudo correu como combinado nada a reclamar
positive,de fácil manuseio até o presente atende as expectativas
positive,relógio lindo entrega antes do prazo
positive,veio conforme o anunciado simples mais bonita
positive,produto condiz com o anúncio
negative,o produto ainda não chegou
positive,satisfeito eu recomendo
positive,amei chegou rapidinho ainda vou testa lo obrigado
positive,gostei muito do que comprei com vcs muito obrigada breve farei outras compras vanda
negative,ainda não recebi o produto
positive,recebi a bolsa é diferente mas gostei estava previsto pra de janeiro estava achando muito tempo porque é pra escola e estou aguardando o vale compra da primeira compra da bolsa que não deu certo
positive,recebi o produto que queria e antes do prazo combinado muito bom recomendo com certeza
neutral,na propaganda está escrito mixer elétrico e veio um portátil que eu tenho três que quebrou por isso eu queria um elétrico vocês devem especificar melhor os produtos
positive,produto entregue antes do prazo combinado não é a primeira vez que compro pelo site lojas lannister e recomendo tal empresa pela seriedade no trato com os clientes
negative,comprei produtos so mandaram e n mim deram nenhuma justificativa
positive,agradeço muito bom
positive,dentro do previsto
positive,recebi antes do prazo estimado
positive,só imaginei que fosse maior a boneca mais é legal
negative,tive problema na entrega pois não tinha ninguém em casa para receber a mercadoria no horário que passaram
positive,atenciosos ligam para dar acompanhamento bom prazo de validade demorou de chegar agora é verificar a qualidade do produto
positive,muito eficiente entregou bem rápido eu recomendo
neutral,muito lindo o relógio
positive,otimo produto e entrega no prazo
positive,chegou antes da data do prazo porem vazou um pouco do produto
positive,sempre que compro com vocês meus itens chega em perfeito estado
positive,produto entregue antes do prazo em ótimo estado
neutral,muito bom
positive,entrega super rápida produto de ótima qualidade recomendo
positive,produto lindo ótimo
positive,excelente
neutral,esperava mais as toalhas poderiam ser mais grossas
positive,entrega uma dia antes do previsto
positive,demora um pouco pra esquentar mesmo na potência máxima mas atende bem nos rimeiros dias de uso tem um cheiro meio que borracha queimada mas passa recomendo pela praticidade e custo benefício
positive,foi entregue bem embalado entrega rapido comforme prometido comforme a imagem
positive,tudo ocorreu de forma eficiente
positive,o produto chegou antes do prazo e em perfeitas condições
negative,o produto não corresponde ao que eu comprei a película é muito menor que a tela do celular e não cobre toda a tela
positive,produto conforme anunciado e veio antes do prazo perfeito
positive,produto bom e entregue antes do previsto
positive,ainda não usei em nenhuma viagem mas parece ser muito boa
negative,o produto foi encaminhado para cidade de destino no dia e até o momento não recebi
negative,produto não foi entregue
negative,simplesmente não recebi meu produto e nao tenho um posicionamento decente do que acontecerá
negative,não recebi o braço de ducha com desviador somente a ducha x com braço de cm
positive,adoro comprar nas lojas lannister
positive,entrega muito rápido e produto excelente
positive,ótimo
negative,o produto pode estar com mal funcionamento ou o meu telefone não está conseguindo fazer a leitura
positive,produto entregue
negative,loja sem vergonha não entregaram o pedido e tiveram a descaração de duerem que eu o cancelei porcaria de vendedor stark escolheu muito mal o seu paeceiro
positive,muito bom
positive,recebi o produto que eh falso quero meu dinheiro de volta
negative,produto não veio conforme estava no site mostrava calendário site mas quando recebi veio sem e esta difícil para fazer a troca e estorno do produto
positive,produto bom entrega antes do prazo
positive,bom
positive,gostei muito
negative,comprei dois produtos sendo que um deles não chegou um cabo adaptador de áudio
positive,gostei muito chegou tudo certinho até antes do prazo de entrega
positive,produto entregue dentro do prazo
negative,fornecedor targaryen me mandou um massageador completamente diferente do que comprei de preço inferior e cheio de avaliações negativas ninguém erra mandando um superior né curioso ou seja n recomendo
positive,recebi o produto no prazo tudo ok
negative,muito ruim não veio um produto e o outro veio errado
negative,abri protocolo para devolução produto de baixa qualidade deu problema no primeiro dia de uso lannister virou um mercado livre pedidos problemas
positive,entrega no prazo e como descrito no site
positive,a lannister sempre se superandoo
positive,fui surpreendido pela eficácia ótimo atentimento
positive,otimo atendimento tudo certo entregue dentro do prazo
positive,obrigada pela qualidade do produto e pela entrega tbm que era previsto para e chegou dia adorei parabéns
negative,a mercadoria não foi entregue ainda
positive,ainda não utilizei o produto
negative,recebi a encomenda de forma normal e dentro do prazo contudo recebi de primeira uma data de entrega estimada e que posterior a data foi aumentando não gostei dessa atitude demorou semanas
negative,eu pedi q cancelacem antes da nf ser emitida pq eu havia ganhado de presente um igual não cancelaram mandaram assim msm eu pedi quando a nf ainda não tinha sido emitida
positive,muito linda deu um charme na minha sala
positive,ótimo atendimento e entrega antes do prazo
neutral,não recebi o produto completo comprei quantidade e recebi somente e consta na nota da entrega tem quantidade e com volume quero receber a outra sem custo nenhum pois o erro não foi me
positive,recomendo
neutral,as bolsas são lindas por fora a cor é bem próxima da foto mas por dentro não tem o forro da descrição e o acabamento deixou um pouco a desejar no mais a entrega foi super rápida
negative,preciso urgente desta mercadoria o prazo maximo era até o dia e até agora não chegou
positive,otimo material bem resistente espaçosa gostei
positive,prestação de serviços de alta qualidade
negative,o produto é de muita baixa qualidade
positive,produto entregue bem embalado em perfeitas condições
negative,demorou mas entregou
neutral,a compra efetuada foram dois ursos que rezam um rosa e um azul recebi somente um dos produtos que adquiri o rosa estou aguardando retorno do vendedor sobre o que ocorreu e se vou receber o outro
negative,produto com defeito apresenta risco por não ser confiável já eviei e mail e efetuei ligações e sem retorno
