sentimento,comentarios
positive,"['entreg', 'no', 'praz', 'cert', 'fiqu', 'feliz', 'com', 'a', 'compr', 'que', 'fiz']"
positive,"['lind', 'relógi', 'ador']"
neutral,"['compr', 'dois', 'lustr', 'pendent', 'com', 'a', 'parceir', 'targaryen', 'e', 'só', 'me', 'envi', 'um', 'lustr', 'abri', 'reclam', 'mas', 'aind', 'nã', 'receb', 'respost', 'aguard', 'soluçã', 'por', 'part', 'de', 'loj', 'lannist']"
positive,"['muit', 'bom', 'alta', 'qualidad']"
positive,"['produt', 'bonit', 'entreg', 'bem', 'val', 'e', 'dentr', 'do', 'praz', 'recom']"
positive,"['muit', 'bom']"
negative,"['falt', 'produt', 'e', 'os', 'que', 'receb', 'vei', 'quebr']"
positive,"['cheg', 'dentr', 'do', 'praz', 'e', 'o', 'produt', 'é', 'de', 'excelent', 'qualidad', 'acab', 'as', 'dor', 'nas', 'cost', 'estou', 'dorm', 'muit', 'bem']"
negative,"['aqu', 'está', 'descrev', 'com', 'entreg', 'só', 'que', 'ate', 'agor', 'nã', 'receb']"
positive,"['acho', 'que', 'rastr', 'o', 'produt', 'dev', 'ser', 'melhor', 'e', 'mais', 'precis', 'mas', 'no', 'geral', 'foi', 'uma', 'ótim', 'experient']"
positive,"['aind', 'nã', 'tiv', 'a', 'oportun', 'de', 'test']"
neutral,"['comec', 'a', 'usar', 'agor']"
positive,"['nad', 'a', 'declar']"
neutral,"['compr', 'um', 'produt', 'corret', 'na', 'cap', 'mas', 'intern', 'ser', 'outr']"
neutral,"['entreg', 'sup', 'rap']"
neutral,"['fiz', 'um', 'ped', 'de', 'garraf', 'de', 'azeit', 'cheg', 'num', 'dia', 'e', 'as', 'outr', 'quas', 'hor', 'depo', 'contat', 'com', 'a', 'loj', 'muit', 'dificil', 'tant', 'via', 'e', 'mail', 'qto', 'por', 'telef', 'o', 'suspens', 'termin', 'mas', 'lá', 'nã', 'compr', 'mais']"
positive,"['o', 'produt', 'cheg', 'muit', 'rap', 'e', 'de', 'boa', 'qualidad', 'recom', 'o', 'produt']"
negative,"['nã', 'poss', 'estou', 'aguard', 'a', 'cheg', 'do', 'produt', 'que', 'compr', 'log', 'que', 'isso', 'acontec', 'ter', 'minh', 'opiniã', 'form']"
negative,"['compr', 'dois', 'produt', 'e', 'receb', 'soment', 'um', 'mand', 'dois', 'emails', 'par', 'a', 'loj', 'e', 'nã', 'tiv', 'nenhum', 'retorn', 'estou', 'insatisfeit']"
neutral,"['nã', 'recomend', 'esta', 'loj', 'nem', 'pret', 'volt', 'a', 'compr', 'nel', 'a', 'mercador', 'foi', 'entreg', 'após', 'o', 'praz', 'e', 'quas', 'mês', 'após', 'a', 'compr', 'no', 'sit', 'das', 'lannist', 'costum', 'cheg', 'antes', 'do', 'praz', 'estranh', 'muit']"
positive,['recom']
neutral,"['atend', 'minh', 'expect']"
positive,"['entreg', 'antes', 'do', 'praz', 'produt', 'muit', 'prátic', 'e', 'de', 'fácil', 'manusei']"
positive,"['otim', 'produt', 'só', 'nao', 'vei', 'manual', 'mas', 'sem', 'problem']"
neutral,"['uma', 'das', 'pec', 'nã', 'encaix', 'estav', 'de', 'diâmetr', 'diferent', 'eu', 'tiv', 'que', 'serr', 'e', 'martel', 'par', 'pod', 'cab', 'e', 'encaix', 'de', 'rest', 'tud', 'ok']"
positive,"['excelent', 'produt']"
positive,"['tud', 'cert']"
negative,"['demor', 'na', 'entreg', 'detest', 'o', 'atend', 'e', 'nunc', 'mais', 'compr', 'baratheon', 'quand', 'vend', 'por', 'eles', 'mesm', 'era', 'bem', 'melhor']"
positive,"['produt', 'muit', 'bom']"
negative,"['o', 'meu', 'produt', 'nã', 'cheg', 'segund', 'o', 'rastrei', 'está', 'par', 'em', 'rib', 'pret', 'sp']"
negative,"['produt', 'deu', 'defeit', 'na', 'vez', 'de', 'uso']"
positive,"['sup', 'recom', 'produt', 'profissional', 'de', 'qualidad']"
negative,"['até', 'agor', 'nã', 'receb', 'o', 'produt']"
negative,"['a', 'loj', 'anunc', 'um', 'produt', 'e', 'entreg', 'outr']"
positive,"['muit', 'bom', 'e', 'rap', 'quand', 'vi', 'ja', 'tinh', 'cheg']"
positive,"['o', 'produt', 'cheg', 'muit', 'bem']"
positive,['otim']
neutral,"['apes', 'de', 'ter', 'sid', 'entreg', 'rapid', 'substituír', 'a', 'caix', 'meteor', 'pel', 'caix', 'born', 'quand', 'tent', 'reclam', 'nas', 'lannist', 'o', 'sistem', 'estaav', 'for', 'do', 'ar', 'a', 'guitarr', 'e', 'acessóri', 'estav', 'corret']"
positive,"['muit', 'satisfeit']"
neutral,"['parabéns', 'par', 'loj', 'e', 'revendedor', 'apes', 'de', 'ter', 'demor', 'um', 'pouc']"
positive,"['entreg', 'dentr', 'do', 'praz', 'e', 'com', 'bom', 'períod', 'de', 'validad']"
positive,"['o', 'jog', 'de', 'toalh', 'é', 'lind', 'mais', 'bonit', 'do', 'que', 'na', 'fot', 'ame']"
negative,"['produt', 'foi', 'entreg', 'com', 'umas', 'das', 'alças', 'com', 'problem', 'está', 'falt', 'pin', 'de', 'fixaçã']"
neutral,"['foi', 'marc', 'o', 'dia', 'par', 'entreg', 'do', 'ped', 'e', 'no', 'rastreament', 'marc', 'que', 'o', 'produt', 'já', 'hav', 'sid', 'entreg', 'na', 'dat', 'mas', 'na', 'realidad', 'nã', 'foi', 'entreg', 'o', 'produt', 'só', 'foi', 'entreg', 'no', 'dia']"
neutral,"['loj', 'além', 'do', 'fret', 'ser', 'muit', 'car', 'o', 'produt', 'lev', 'quas', 'dias', 'úte', 'par', 'cheg', 'na', 'sua', 'cas']"
negative,"['receb', 'bem', 'ráp', 'porém', 'vei', 'outr', 'produt', 'e', 'nã', 'o', 'que', 'eu', 'ped', 'o', 'model', 'vei', 'diferent', 'a', 'cor', 'vei', 'uma', 'capinh', 'que', 'nã', 'tem', 'zíp', 'enfim', 'nã', 'recom']"
positive,"['sempr', 'compr', 'no', 'stark', 'e', 'estou', 'satisfeit']"
positive,"['fiz', 'a', 'compr', 'por', 'tabel', 'e', 'grac', 'a', 'deus', 'deu', 'tud', 'cert', 'fic', 'muit', 'grat', 'pod', 'confi']"
negative,"['cancel', 'a', 'minh', 'compr', 'um', 'dia', 'antes', 'da', 'entreg', 'ligu', 'par', 'a', 'lannist', 'e', 'os', 'atendent', 'nã', 'sab', 'o', 'que', 'estav', 'acontec', 'uma', 'bagunc', 'agor', 'estou', 'esper', 'par', 'ver', 'se', 'vai', 'ser', 'cobr']"
positive,"['produt', 'de', 'qualidad', 'e', 'eficient', 'na', 'entreg', 'receb', 'muit', 'antes', 'do', 'combin', 'recom']"
positive,"['produt', 'bom', 'vei', 'no', 'dentr', 'do', 'praz', 'cheg', 'em', 'dias', 'estã', 'de', 'parabéns']"
positive,"['tud', 'ok', 'o', 'baratheon', 'sempr', 'respons', 'com', 'a', 'suas', 'entreg']"
negative,"['o', 'acabent', 'que', 'estav', 'na', 'fot', 'era', 'bonit', 'a', 'que', 'cheg', 'foi', 'de', 'um', 'sintet', 'fei', 'com', 'um', 'acabent', 'tod', 'borr', 'orrivel', 'nao', 'gost']"
negative,"['e', 'muit', 'desorden', 'compr', 'três', 'produt', 'mais', 'nã', 'vei', 'no', 'dia', 'sertõ', 'vei', 'separ', 'e', 'em', 'dat', 'separ']"
positive,['a']
positive,"['entreg', 'rap']"
neutral,"['foi', 'bom']"
positive,"['mercador', 'cert', 'entreg', 'no', 'praz', 'combin', 'grat']"
negative,"['muit', 'ruim']"
negative,"['pass', 'dos', 'dias', 'previst']"
neutral,"['ao', 'faz', 'a', 'compr', 'do', 'kit', 'entend', 'que', 'receb', 'frasc', 'de', 'cápsul', 'cad', 'e', 'nã', 'frasc', 'com', 'cápsul', 'no', 'total', 'só', 'nã', 'vou', 'devolv', 'porqu', 'estou', 'precis', 'do', 'produt']"
positive,"['entreg', 'bem', 'antes', 'do', 'praz', 'perfeit']"
positive,"['cad', 'vez', 'que', 'compr', 'mais', 'fic', 'satisfeit', 'parabéns', 'pel', 'honest', 'com', 'seus', 'client']"
positive,"['bem', 'rap', 'a', 'entreg', 'e', 'bom', 'compr', 'com', 'vcs']"
negative,"['produt', 'nã', 'recom', 'nã', 'ler', 'em', 'nenhum', 'disposit']"
neutral,"['entreg', 'sup', 'ráp', 'parabéns']"
neutral,"['tud', 'ráp', 'e', 'eficient']"
positive,"['crem', 'maravilh', 'e', 'entreg', 'sup', 'ráp']"
negative,"['tent', 'cancel', 'o', 'produt', 'desd', 'antes', 'da', 'emissã', 'da', 'not', 'fiscal', 'nã', 'fui', 'avis', 'que', 'estav', 'no', 'correi', 'nã', 'tiv', 'nenhum', 'respost', 'do', 'cancel', 'e', 'nao', 'consig', 'devolv']"
neutral,"['cheg', 'hoj', 'sem', 'comentári']"
negative,"['boa', 'noit', 'é', 'lament', 'esta', 'loj', 'que', 'tant', 'compr', 'eu', 'ja', 'fiz', 'e', 'hoj', 'nã', 'me', 'da', 'satisf', 'sequ', 'de', 'um', 'relógi', 'na', 'import', 'de', 'rea', 'um', 'produt', 'com', 'defeit', 'e', 'até', 'agor', 'nã', 'me', 'deu', 'retor']"
positive,"['muit', 'bom', 'aquil', 'que', 'esper']"
neutral,"['a', 'cap', 'protetor', 'nã', 'é', 'exat', 'o', 'que', 'eu', 'esper', 'deix', 'a', 'desej', 'no', 'tip', 'material', 'e', 'na', 'qualidad']"
neutral,"['no', 'sit', 'o', 'produt', 'parec', 'ter', 'melhor', 'qualidad', 'de', 'material', 'e', 'acab']"
positive,"['receb', 'meu', 'produt', 'corret', 'e', 'dentr', 'do', 'praz', 'verific', 'na', 'caix', 'esta', 'tud', 'corret', 'mas', 'aind', 'nã', 'mont', 'produt', 'lind', 'cor', 'perfeit', 'amam', 'sup', 'recom']"
neutral,"['a', 'embalag', 'deix', 'a', 'desej', 'por', 'pouc', 'o', 'produt', 'nã', 'foi', 'danific', 'a', 'caix', 'estav', 'tod', 'amass']"
positive,"['parabéns', 'produt', 'entreg', 'bem', 'antes', 'do', 'praz', 'atend', 'às', 'minh', 'necess']"
positive,['recom']
neutral,"['falt', 'os', 'cab', 'e', 'o', 'manual']"
positive,"['ótim', 'cheg', 'bem', 'antes', 'do', 'praz']"
positive,"['entreg', 'no', 'praz', 'produt', 'muit', 'bom']"
neutral,"['o', 'produt', 'foi', 'embal', 'apen', 'com', 'papel', 'pard', 'sobr', 'a', 'embalag', 'e', 'envi', 'pel', 'correi', 'lógic', 'a', 'embalag', 'cheg', 'amass', 'e', 'só', 'deus', 'sab', 'se', 'o', 'produt', 'está', 'funcion', 'ou', 'nã', 'aind', 'nã', 'test']"
positive,"['acho', 'q', 'dev', 'mand', 'por', 'sedex', 'ao', 'invés', 'de', 'pac']"
negative,"['últim', 'vez', 'que', 'compr', 'pois', 'hoj', 'vai', 'faz', 'mês', 'que', 'fiz', 'a', 'compr', 'e', 'nad', 'e', 'se', 'demor', 'mas', 'temp', 'de', 'entreg', 'estar', 'procur', 'meus', 'direit', 'contr', 'as', 'loj', 'lannist', 'e', 'a', 'targaryen']"
positive,"['lind', 'só', 'falt', 'instruçõ', 'da', 'troc', 'de', 'pulseir']"
positive,"['produt', 'exat', 'conform', 'descrit', 'cheg', 'bem', 'antes', 'do', 'praz']"
positive,"['o', 'produt', 'cheg', 'bem', 'antes', 'do', 'praz', 'estipul', 'ame', 'o', 'atend', 'sup', 'recom']"
negative,"['nã', 'gost', 'do', 'produt', 'material', 'de', 'péssim', 'qualidad']"
negative,"['dos', 'dois', 'produt', 'compr', 'foi', 'entreg', 'apen', 'um']"
negative,"['nao', 'compr', 'mais', 'na', 'lannist', 'se', 'é', 'parceir', 'da', 'lannist', 'ou', 'nã', 'essa', 'targaryen', 'jam', 'uso', 'nov', 'quand', 'eu', 'ler', 'que', 'é', 'dess', 'empres', 'sai', 'corr', 'um', 'absurd', 'quas', 'um', 'mês', 'par', 'entreg', 'extra', 'com', 'ok']"
neutral,"['receb', 'corret', 'o', 'produt']"
positive,"['receb', 'o', 'produt', 'dentr', 'do', 'praz', 'inform', 'aind', 'nã', 'utiliz']"
neutral,"['o', 'ped', 'cheg', 'antes', 'do', 'combin', 'muit', 'bom']"
neutral,"['produt', 'entreg', 'conform', 'anunc']"
neutral,"['receb', 'apen', 'pec', 'do', 'produt', 'estou', 'precis', 'da', 'pec', 'restant']"
positive,['loj']
neutral,"['o', 'violã', 'que', 'compr', 'é', 'lind', 'porém', 'a', 'cor', 'do', 'ades', 'nã', 'confer', 'com', 'a', 'fot', 'do', 'ato', 'da', 'compr', 'mas', 'aprov']"
negative,"['nem', 'fiz', 'a', 'not', 'fiscal']"
positive,"['cheg', 'antes', 'do', 'praz', 'produt', 'excelent']"
neutral,"['trabalh', 'com', 'profissional', 'das', 'loj', 'lannist', 'indic', 'com', 'certez']"
negative,"['o', 'mp', 'play', 'nã', 'funcion', 'mesm', 'troc', 'a', 'pilh', 'divers', 'vez', 'tiv', 'que', 'devolv']"
positive,"['sup', 'recom', 'o', 'produt', 'que', 'é', 'muit', 'bom']"
positive,"['pré', 'trein', 'muit', 'bom', 'um', 'dos', 'melhor', 'do', 'merc', 'se', 'nã', 'for', 'o', 'melhor']"
neutral,"['a', 'loj', 'post', 'o', 'produt', 'de', 'e', 'mediat', 'o', 'correi', 'demor', 'um', 'pouc']"
positive,"['sempr', 'compr', 'no', 'stark', 'e', 'sempr', 'sou', 'bem', 'atend', 'sit', 'eficient', 'e', 'produt', 'de', 'ótim', 'qualidad', 'recom', 'a', 'tod', 'pod', 'compr', 'de', 'olhos', 'fech']"
neutral,"['muit', 'bom', 'desd', 'da', 'compr', 'a', 'entreg', 'td', 'direitinh', 'e', 'rap']"
positive,"['tud', 'ok']"
negative,"['a', 'targaryen', 'nã', 'é', 'de', 'confianc', 'nã', 'entreg', 'a', 'minh', 'compr', 'e', 'coloc', 'no', 'rastreament', 'do', 'ped', 'que', 'foi', 'entreg', 'no', 'dia', 'empres', 'fals', 'quer', 'receb', 'meus', 'produt', 'que', 'for', 'pag', 'com', 'bolet', 'bancar']"
positive,"['entreg', 'e', 'qualidad', 'do', 'produt', 'de', 'acord', 'com', 'o', 'esper']"
positive,"['excelent', 'recom']"
neutral,"['a', 'bols', 'e', 'muit', 'bonit', 'por', 'for', 'mas', 'dentr', 'nã', 'tem', 'forr', 'e', 'é', 'bem', 'fragil']"
negative,"['quand', 'instal', 'o', 'cartuch', 'de', 'tint', 'a', 'minh', 'impressor', 'indic', 'que', 'o', 'mesm', 'estav', 'vazi', 'e', 'apresent', 'a', 'mensag', 'de', 'erro', 'em', 'cim', 'do', 'marcador', 'de', 'nível', 'da', 'tint', 'já', 'solicit', 'a', 'troc']"
neutral,"['muit', 'bom', 'recom', 'o', 'produt']"
positive,"['quant', 'ao', 'sit', 'nã', 'tenh', 'o', 'que', 'question', 'sempr', 'cumpr', 'sup', 'o', 'combin', 'recom', 'sempr', 'mas', 'o', 'produt', 'é', 'frac']"
neutral,"['bom', 'em', 'tod', 'os', 'aspect']"
positive,"['até', 'hoj', 'estou', 'satisfeit', 'com', 'a', 'sbmarin']"
negative,"['nã', 'for', 'entreg', 'as', 'duas', 'cap', 'de', 'cour', 'compr', 'apen', 'uma', 'del', 'aguard', 'a', 'devolu', 'do', 'dinheir', 'ou', 'a', 'entreg', 'da', 'segund', 'cap']"
positive,['gost']
neutral,"['fiqu', 'feliz', 'com', 'o', 'tec', 'mas', 'acho', 'que', 'falt', 'o', 'lençol', 'de', 'cim', 'par', 'fic', 'complet', 'esper', 'que', 'log', 'lanc']"
positive,"['cheg', 'antes', 'do', 'praz', 'é', 'a', 'cabeceir', 'é', 'lind']"
neutral,"['houv', 'algum', 'confusã', 'entre', 'vendedor', 'e', 'o', 'stark', 'pois', 'receb', 'um', 'email', 'do', 'stark', 'ped', 'o', 'cancel', 'do', 'produt', 'por', 'algum', 'imprevist', 'na', 'entreg', 'negu', 'e', 'receb', 'o', 'produt', 'dias', 'depo']"
positive,"['gost', 'do', 'produt', 'cheg', 'no', 'temp', 'cert', 'os', 'vendedor', 'estã', 'de', 'parabéns']"
positive,"['atend', 'excelent']"
neutral,['gost']
negative,"['no', 'dia', 'de', 'mai', 'use', 'e', 'a', 'à', 'alça', 'quebr', 'sem', 'muit', 'pes']"
positive,"['toalh', 'do', 'maior', 'campeã', 'do', 'brasil', 'maravilh']"
positive,"['a', 'entreg', 'foi', 'realiz', 'muit', 'antes', 'do', 'previst', 'bom', 'produt', 'estou', 'satisfeit']"
positive,"['até', 'agor', 'tud', 'bem', 'estou', 'esper', 'a', 'entreg', 'do', 'produt']"
positive,"['a', 'compr', 'ocorr', 'com', 'o', 'esper', 'desd', 'de', 'o', 'ped', 'até', 'o', 'receb', 'do', 'produt', 'tud', 'bem', 'certinh']"
positive,"['o', 'produt', 'foi', 'entreg', 'antes', 'do', 'praz']"
neutral,"['gost', 'muit', 'do', 'produt', 'era', 'exat', 'boqu', 'eu', 'esper', 'entreg', 'dentr', 'do', 'praz', 'parabéns', 'recom', 'a', 'loj']"
neutral,"['compr', 'o', 'produt', 'na', 'cor', 'pret', 'e', 'cheg', 'na', 'cor', 'vermelh']"
positive,"['já', 'é', 'a', 'segund', 'vez', 'que', 'compr', 'nest', 'loj', 'sup', 'eficient', 'entreg', 'ráp', 'e', 'antes', 'do', 'praz', 'contrat', 'produt', 'bem', 'embal', 'not', 'muit', 'obrig']"
neutral,['otim']
neutral,"['pens', 'que', 'a', 'mochil', 'foss', 'um', 'material', 'mais', 'resistent']"
negative,"['compr', 'um', 'produt', 'e', 'vei', 'outr', 'mand', 'msg', 'inform', 'o', 'erro', 'porém', 'nã', 'obtiv', 'respost', 'obrig']"
negative,"['o', 'produt', 'demor', 'muit', 'par', 'cheg']"
neutral,"['so', 'receb', 'um', 'relogi', 'pel', 'correi', 'att']"
positive,"['entreg', 'ráp', 'produt', 'conform', 'esper']"
positive,"['tud', 'com', 'anunc', 'ótim', 'produt']"
neutral,"['produt', 'de', 'boa', 'qualidad', 'exat', 'conform', 'anunc', 'e', 'o', 'prec', 'baix', 'é', 'uma', 'atrat', 'a', 'mais']"
negative,"['soment', 'foi', 'entreg', 'uma', 'unidad', 'ao', 'invés', 'de', 'duas']"
neutral,"['ador', 'o', 'produt', 'receb', 'antes', 'do', 'praz', 'combin', 'fic', 'muit', 'bonit']"
positive,"['muit', 'satisfeit']"
neutral,"['otim', 'produt', 'por', 'car', 'dem']"
positive,"['produt', 'otim', 'entreg', 'ráp', 'sup', 'recom']"
neutral,"['receb', 'sim', 'mais', 'com', 'defeit', 'os', 'encaix', 'sao', 'dois', 'igual', 'e', 'nao', 'fech']"
negative,"['aind', 'nã', 'receb']"
positive,"['tiv', 'um', 'pós', 'vend', 'excelent', 'através', 'do', 'sr', 'renat']"
positive,"['gost', 'muit', 'do', 'produt', 'a', 'entreg', 'vei', 'antes', 'do', 'praz', 'recom', 'fic', 'bem', 'encaix', 'no', 'celul', 'nã', 'tir', 'a', 'eleg', 'do', 'aparelh', 'com', 'outr', 'as', 'cap', 'que', 'deix', 'monstruos', 'com', 'o', 'tamanh']"
negative,"['até', 'agor', 'nao', 'receb', 'compr', 'este', 'aparelh', 'por', 'questa', 'de', 'saud', 'portant', 'nao', 'recom', 'esta', 'loj']"
positive,"['recom', 'a', 'tod', 'produt', 'de', 'ótim', 'qualidad', 'entreg', 'sem', 'problem']"
positive,"['produt', 'cheg', 'dentr', 'do', 'praz', 'vei', 'conform', 'descriçã', 'e', 'é', 'excelent']"
neutral,"['o', 'produt', 'cheg', 'antes', 'do', 'praz', 'e', 'gost', 'bastant', 'agor', 'meu', 'rapazinh', 'de', 'aninh', 'vai', 'aproveit', 'ao', 'maxim']"
