sentimento,comentarios
positive,"['fiz', 'compr', 'tabel', 'grac', 'deus', 'deu', 'tud', 'cert', 'fic', 'grat', 'pod', 'confi']"
negative,"['cancel', 'compr', 'dia', 'antes', 'entreg', 'ligu', 'lannist', 'atendent', 'nã', 'sab', 'acontec', 'bagunc', 'agor', 'esper', 'ver', 'vai', 'cobr']"
positive,"['produt', 'qualidad', 'eficient', 'entreg', 'receb', 'antes', 'combin', 'recom']"
positive,"['produt', 'bom', 'vei', 'dentr', 'praz', 'cheg', 'dias', 'parabéns']"
positive,"['tud', 'ok', 'baratheon', 'sempr', 'respons', 'entreg']"
negative,"['acabent', 'fot', 'bonit', 'cheg', 'sintet', 'fei', 'acabent', 'tod', 'borr', 'orrivel', 'nao', 'gost']"
negative,"['desorden', 'compr', 'três', 'produt', 'nã', 'vei', 'dia', 'sertõ', 'vei', 'separ', 'dat', 'separ']"
positive,"['entreg', 'rap']"
positive,['bom']
positive,"['mercador', 'cert', 'entreg', 'praz', 'combin', 'grat']"
negative,['ruim']
negative,"['pass', 'dias', 'previst']"
3,"['faz', 'compr', 'kit', 'entend', 'receb', 'frasc', 'cápsul', 'cad', 'nã', 'frasc', 'cápsul', 'total', 'nã', 'vou', 'devolv', 'porqu', 'precis', 'produt']"
positive,"['entreg', 'bem', 'antes', 'praz', 'perfeit']"
positive,"['cad', 'vez', 'compr', 'fic', 'satisfeit', 'parabéns', 'honest', 'client']"
positive,"['bem', 'rap', 'entreg', 'bom', 'compr', 'vcs']"
negative,"['produt', 'nã', 'recom', 'nã', 'ler', 'nenhum', 'disposit']"
positive,"['entreg', 'sup', 'ráp', 'parabéns']"
positive,"['tud', 'ráp', 'eficient']"
positive,"['crem', 'maravilh', 'entreg', 'sup', 'ráp']"
negative,"['tent', 'cancel', 'produt', 'desd', 'antes', 'emissã', 'not', 'fiscal', 'nã', 'avis', 'correi', 'nã', 'nenhum', 'respost', 'cancel', 'nao', 'consig', 'devolv']"
positive,"['cheg', 'hoj', 'comentári']"
negative,"['boa', 'noit', 'lament', 'loj', 'tant', 'compr', 'ja', 'fiz', 'hoj', 'nã', 'satisf', 'sequ', 'relógi', 'import', 'rea', 'produt', 'defeit', 'agor', 'nã', 'deu', 'retor']"
positive,"['bom', 'esper']"
negative,"['cap', 'protetor', 'nã', 'exat', 'esper', 'deix', 'desej', 'tip', 'material', 'qualidad']"
3,"['sit', 'produt', 'parec', 'ter', 'melhor', 'qualidad', 'material', 'acab']"
positive,"['receb', 'produt', 'corret', 'dentr', 'praz', 'verific', 'caix', 'tud', 'corret', 'mas', 'aind', 'nã', 'mont', 'produt', 'lind', 'cor', 'perfeit', 'amam', 'sup', 'recom']"
3,"['embalag', 'deix', 'desej', 'pouc', 'produt', 'nã', 'danific', 'caix', 'tod', 'amass']"
positive,"['parabéns', 'produt', 'entreg', 'bem', 'antes', 'praz', 'atend', 'necess']"
positive,['recom']
3,"['falt', 'cab', 'manual']"
positive,"['ótim', 'cheg', 'bem', 'antes', 'praz']"
positive,"['entreg', 'praz', 'produt', 'bom']"
negative,"['produt', 'embal', 'apen', 'papel', 'pard', 'sobr', 'embalag', 'envi', 'correi', 'lógic', 'embalag', 'cheg', 'amass', 'deus', 'sab', 'produt', 'funcion', 'nã', 'aind', 'nã', 'test']"
positive,"['acho', 'q', 'dev', 'mand', 'sedex', 'invés', 'pac']"
negative,"['últim', 'vez', 'compr', 'pois', 'hoj', 'vai', 'faz', 'mês', 'fiz', 'compr', 'nad', 'demor', 'mas', 'temp', 'entreg', 'estar', 'procur', 'direit', 'contr', 'loj', 'lannist', 'targaryen']"
positive,"['lind', 'falt', 'instruçõ', 'troc', 'pulseir']"
positive,"['produt', 'exat', 'conform', 'descrit', 'cheg', 'bem', 'antes', 'praz']"
positive,"['produt', 'cheg', 'bem', 'antes', 'praz', 'estipul', 'ame', 'atend', 'sup', 'recom']"
negative,"['nã', 'gost', 'produt', 'material', 'péssim', 'qualidad']"
negative,"['dois', 'produt', 'compr', 'entreg', 'apen']"
negative,"['nao', 'compr', 'lannist', 'parceir', 'lannist', 'nã', 'targaryen', 'jam', 'uso', 'nov', 'ler', 'dess', 'empres', 'sai', 'corr', 'absurd', 'quas', 'mês', 'entreg', 'extra', 'ok']"
3,"['receb', 'corret', 'produt']"
positive,"['receb', 'produt', 'dentr', 'praz', 'inform', 'aind', 'nã', 'utiliz']"
positive,"['ped', 'cheg', 'antes', 'combin', 'bom']"
positive,"['produt', 'entreg', 'conform', 'anunc']"
3,"['receb', 'apen', 'pec', 'produt', 'precis', 'pec', 'restant']"
positive,['loj']
positive,"['violã', 'compr', 'lind', 'porém', 'cor', 'ades', 'nã', 'confer', 'fot', 'ato', 'compr', 'mas', 'aprov']"
negative,"['nem', 'fiz', 'not', 'fiscal']"
positive,"['cheg', 'antes', 'praz', 'produt', 'excelent']"
positive,"['trabalh', 'profissional', 'loj', 'lannist', 'indic', 'certez']"
negative,"['mp', 'play', 'nã', 'funcion', 'troc', 'pilh', 'divers', 'vez', 'devolv']"
positive,"['sup', 'recom', 'produt', 'bom']"
positive,"['pré', 'trein', 'bom', 'melhor', 'merc', 'nã', 'melhor']"
positive,"['loj', 'post', 'produt', 'mediat', 'correi', 'demor', 'pouc']"
positive,"['sempr', 'compr', 'stark', 'sempr', 'bem', 'atend', 'sit', 'eficient', 'produt', 'ótim', 'qualidad', 'recom', 'tod', 'pod', 'compr', 'olhos', 'fech']"
positive,"['bom', 'desd', 'compr', 'entreg', 'td', 'direitinh', 'rap']"
positive,"['tud', 'ok']"
negative,"['targaryen', 'nã', 'confianc', 'nã', 'entreg', 'compr', 'coloc', 'rastreament', 'ped', 'entreg', 'dia', 'empres', 'fals', 'quer', 'receb', 'produt', 'pag', 'bolet', 'bancar']"
positive,"['entreg', 'qualidad', 'produt', 'acord', 'esper']"
positive,"['excelent', 'recom']"
3,"['bols', 'bonit', 'mas', 'dentr', 'nã', 'forr', 'bem', 'fragil']"
negative,"['instal', 'cartuch', 'tint', 'impressor', 'indic', 'vazi', 'apresent', 'mensag', 'erro', 'cim', 'marcador', 'nível', 'tint', 'solicit', 'troc']"
positive,"['bom', 'recom', 'produt']"
positive,"['quant', 'sit', 'nã', 'question', 'sempr', 'cumpr', 'sup', 'combin', 'recom', 'sempr', 'mas', 'produt', 'frac']"
positive,"['bom', 'tod', 'aspect']"
positive,"['hoj', 'satisfeit', 'sbmarin']"
negative,"['nã', 'entreg', 'duas', 'cap', 'cour', 'compr', 'apen', 'aguard', 'devolu', 'dinheir', 'entreg', 'segund', 'cap']"
positive,['gost']
3,"['fiqu', 'feliz', 'tec', 'mas', 'acho', 'falt', 'lençol', 'cim', 'fic', 'complet', 'esper', 'log', 'lanc']"
positive,"['cheg', 'antes', 'praz', 'cabeceir', 'lind']"
3,"['algum', 'confusã', 'vendedor', 'stark', 'pois', 'receb', 'email', 'stark', 'ped', 'cancel', 'produt', 'algum', 'imprevist', 'entreg', 'negu', 'receb', 'produt', 'dias']"
positive,"['gost', 'produt', 'cheg', 'temp', 'cert', 'vendedor', 'parabéns']"
positive,"['atend', 'excelent']"
positive,['gost']
negative,"['dia', 'mai', 'use', 'alça', 'quebr', 'pes']"
positive,"['toalh', 'maior', 'campeã', 'brasil', 'maravilh']"
positive,"['entreg', 'realiz', 'antes', 'previst', 'bom', 'produt', 'satisfeit']"
positive,"['agor', 'tud', 'bem', 'esper', 'entreg', 'produt']"
positive,"['compr', 'ocorr', 'esper', 'desd', 'ped', 'receb', 'produt', 'tud', 'bem', 'certinh']"
positive,"['produt', 'entreg', 'antes', 'praz']"
positive,"['gost', 'produt', 'exat', 'boqu', 'esper', 'entreg', 'dentr', 'praz', 'parabéns', 'recom', 'loj']"
negative,"['compr', 'produt', 'cor', 'pret', 'cheg', 'cor', 'vermelh']"
positive,"['segund', 'vez', 'compr', 'nest', 'loj', 'sup', 'eficient', 'entreg', 'ráp', 'antes', 'praz', 'contrat', 'produt', 'bem', 'embal', 'not', 'obrig']"
positive,['otim']
negative,"['pens', 'mochil', 'material', 'resistent']"
negative,"['compr', 'produt', 'vei', 'outr', 'mand', 'msg', 'inform', 'erro', 'porém', 'nã', 'obtiv', 'respost', 'obrig']"
negative,"['produt', 'demor', 'muit', 'cheg']"
3,"['so', 'receb', 'relogi', 'correi', 'att']"
positive,"['entreg', 'ráp', 'produt', 'conform', 'esper']"
positive,"['tud', 'anunc', 'ótim', 'produt']"
3,"['produt', 'boa', 'qualidad', 'exat', 'conform', 'anunc', 'prec', 'baix', 'atrat']"
negative,"['soment', 'entreg', 'unidad', 'invés', 'duas']"
positive,"['ador', 'produt', 'receb', 'antes', 'praz', 'combin', 'fic', 'bonit']"
positive,['satisfeit']
positive,"['otim', 'produt', 'por', 'car', 'dem']"
positive,"['produt', 'otim', 'entreg', 'ráp', 'sup', 'recom']"
negative,"['receb', 'sim', 'defeit', 'encaix', 'sao', 'dois', 'igual', 'nao', 'fech']"
negative,"['aind', 'nã', 'receb']"
positive,"['pós', 'vend', 'excelent', 'através', 'sr', 'renat']"
positive,"['gost', 'produt', 'entreg', 'vei', 'antes', 'praz', 'recom', 'fic', 'bem', 'encaix', 'celul', 'nã', 'tir', 'eleg', 'aparelh', 'outr', 'cap', 'deix', 'monstruos', 'tamanh']"
negative,"['agor', 'nao', 'receb', 'compr', 'aparelh', 'questa', 'saud', 'portant', 'nao', 'recom', 'loj']"
positive,"['recom', 'tod', 'produt', 'ótim', 'qualidad', 'entreg', 'problem']"
positive,"['produt', 'cheg', 'dentr', 'praz', 'vei', 'conform', 'descriçã', 'excelent']"
positive,"['produt', 'cheg', 'antes', 'praz', 'gost', 'bastant', 'agor', 'rapazinh', 'aninh', 'vai', 'aproveit', 'maxim']"
negative,"['gost', 'sab', 'cheg', 'produt', 'pois', 'pass', 'dat', 'previst', 'entreg', 'gost', 'respost', 'aguard']"
positive,"['loj', 'not']"
positive,"['parabéns', 'receb', 'antes', 'praz', 'tud', 'corret', 'combin']"
negative,"['produt', 'entreg', 'difer', 'ped', 'trat', 'produt', 'inferior', 'gost', 'solucion', 'problem', 'nã', 'satisfeit', 'proced']"
positive,['bom']
negative,"['compr', 'produt', 'pagu', 'bolet', 'receb', 'metad', 'produt', 'anunc', 'cois', 'mand', 'outr', 'insatisfeit']"
positive,"['entreg', 'antes', 'praz', 'produt', 'bem', 'conserv']"
positive,"['produt', 'ótim', 'qualidad', 'ador']"
positive,"['apes', 'demor', 'exped', 'not', 'fiscal', 'exped', 'entreg', 'ráp', 'produt', 'vei', 'bem', 'embal', 'recom']"
negative,"['compr', 'produt', 'dia', 'inici', 'marc', 'nã', 'receb', 'praz', 'abrind', 'protocol', 'resolv', 'situaçã']"
negative,"['nã', 'receb', 'produt', 'assim', 'nenhum', 'contat', 'part', 'vendedor']"
negative,"['nem', 'ratr', 'consegu']"
positive,['not']
3,"['esper', 'instal']"
negative,"['compr', 'produt', 'entreg', 'loj', 'aind', 'nã', 'receb', 'pois', 'assim', 'pass', 'dat', 'entreg']"
positive,"['ótim', 'servic']"
positive,"['ótim', 'compr', 'ótim', 'produt', 'sent', 'falt', 'algum', 'comunic', 'compr', 'cheg', 'produt', 'contat', 'mas', 'val']"
negative,"['vei', 'conform', 'ped', 'pós', 'vend', 'nã', 'respond', 'nenhum', 'pergunt']"
negative,"['compr', 'duas', 'mochil', 'receb', 'apen', 'natal', 'cheg', 'agor', 'nad']"
positive,['perfeit']
3,"['prec', 'ótim', 'praz', 'entreg', 'long', 'mês', 'entreg', 'compr', 'cartuch', 'entreg', 'apen', 'reclam', 'envi', 'outr', 'aind', 'dentr', 'praz', 'entreg']"
positive,"['praz', 'estend', 'porém', 'entreg', 'praz', 'divulg', 'propagand', 'cadeir', 'conform', 'fot', 'vem', 'mont', 'fácil', 'lind']"
positive,"['simples', 'lind', 'ador', 'produt', 'tamanh', 'perfeit', 'compr', 'vár', 'produt', 'faz', 'anos', 'compr', 'baratheon']"
positive,"['bom', 'cheg', 'dentr', 'praz']"
positive,"['otim', 'prec', 'entreg', 'antes', 'praz', 'produt', 'ótim', 'qualidad']"
negative,"['compr', 'relogi', 'present', 'natal', 'filh', 'ate', 'agor', 'nao', 'cheg', 'envi', 'mensagens', 'ultim', 'convers', 'relogi', 'cheg', 'ontem', 'por', 'nao', 'receb', 'nad']"
positive,"['pod', 'entreg', 'ráp', 'fim', 'ano']"
positive,"['otim', 'vend', 'tud', 'perfeit']"
positive,"['produt', 'ótim', 'qualidad', 'cheg', 'antes', 'temp', 'esper', 'ame']"
positive,"['vei', 'bem', 'embal', 'envi', 'ráp']"
positive,"['satisfeit', 'compr', 'receb', 'produt', 'dentr', 'praz']"
3,"['agor', 'nã', 'receb', 'nad', 'colch', 'previst', 'anteont', 'agor', 'nad']"
negative,"['pinc', 'vier', 'amass', 'nã', 'condiz', 'algum', 'fot', 'mas', 'condiz', 'descriçã', 'frac', 'nã', 'cab', 'cas', 'vei', 'descol']"
positive,"['produt', 'correspondent', 'expect', 'entreg', 'antes', 'praz', 'estabelec']"
positive,"['indic', 'loj', 'compr', 'sempr', 'lannist']"
negative,"['produt', 'vei', 'diferent', 'q', 'mostr', 'fot', 'nã', 'lux', 'nem', 'acolcho', 'diz']"
positive,"['tud', 'normal', 'compr', 'internet', 'obrig']"
positive,"['boa', 'compr']"
positive,"['produt', 'cheg', 'dentr', 'praz', 'atend', 'cust', 'benefíci', 'porém', 'bols', 'nã', 'forr', 'alça', 'plástic', 'satisfeit']"
positive,"['plen', 'satisfeit', 'aquisiçã', 'recom', 'únic', 'cois', 'nã', 'concord', 'valor', 'fret', 'autíssim']"
3,"['compr', 'envi']"
negative,"['parec', 'mant', 'bem', 'aliment', 'murch', 'batat', 'palh', 'mas', 'tamp', 'estranh', 'parec', 'nã', 'fech', 'inox', 'tamp', 'fei']"
negative,"['aguard', 'respost', 'hoj', 'sobr', 'produt', 'pag', 'aind', 'nã', 'receb', 'igu', 'necessit', 'fal', 'pesso', 'nã', 'máquin', 'gravaçõ']"
positive,"['entreg', 'produt', 'perfeit']"
positive,"['parabéns', 'excelent', 'atend', 'qualidad']"
positive,"['produt', 'entreg', 'antecip']"
positive,"['gost', 'compr', 'receb', 'produt', 'antes', 'praz', 'boa', 'qualidad', 'recom']"
positive,"['sup', 'recom', 'stark', 'sempr', 'cheg', 'antes', 'dta', 'previst', 'd']"
positive,"['correi', 'nã', 'entreg']"
positive,"['entreg', 'feit', 'praz', 'produt', 'perfeit', 'condico', 'parabens', 'equip']"
3,"['aind', 'nã', 'receb', 'produt']"
negative,"['gost', 'receb', 'produt', 'corret', 'tent', 'realiz', 'troc', 'devolu', 'dinheir', 'cartã', 'mas', 'sit', 'lannist', 'nã', 'possibilit', 'realiz']"
positive,"['produt', 'perfeit', 'entreg', 'ráp', 'satisfeitíssim']"
negative,"['produt', 'vei', 'defeit', 'devolv', 'conform', 'inform', 'post', 'correi', 'conform', 'indic', 'hoj', 'nã', 'receb', 'nenhum', 'notific', 'empres', 'quant', 'devolu', 'anális', 'ter', 'meuressarc']"
positive,"['ped', 'cheg', 'antes', 'praz', 'obrig']"
negative,"['receb', 'cartuch', 'abrim', 'reclam', 'sit', 'aind', 'nã', 'obtiv', 'respost']"
positive,"['produt', 'alta', 'qualidad', 'descriçã', 'confer', 'produt', 'entreg', 'temp', 'cert', 'recom']"
negative,"['tamp', 'mes', 'cheg', 'tod', 'amass', 'bat']"
negative,"['dentr', 'praz', 'porém', 'pod', 'agiliz', 'outr', 'produt', 'entreg', 'dias']"
positive,"['relógi', 'lind', 'entreg', 'ráp', 'recom']"
positive,"['ador', 'pequen', 'fácil', 'usar', 'nã', 'arranh', 'apel', 'limp', 'pel', 'recom']"
positive,"['sempr', 'excelent', 'servic']"
negative,"['moment', 'n', 'receb', 'produt']"
positive,"['sempr', 'lannist', 'entreg', 'certinh']"
positive,"['produt', 'perfeit', 'cheg', 'antes', 'praz']"
positive,"['bom', 'produt', 'melhor', 'esper', 'entreg', 'praz', 'gost', 'bastant']"
negative,"['bom', 'produt', 'prec', 'cobr']"
positive,['sdds']
positive,"['bom', 'produt', 'recom']"
positive,"['entreg', 'dentr', 'praz', 'import']"
positive,"['gost', 'objet', 'vei', 'compr', 'compr', 'outr', 'loj', 'vei', 'outr', 'cor', 'ñ', 'gost', 'lannist', 'tud', 'ok']"
3,"['aparelh', 'cheg', 'apresent', 'defeit', 'nã', 'apresent', 'tod', 'funçõ', 'visor', 'digital']"
negative,"['produt', 'nã', 'med', 'corret', 'indic', 'ofert', 'q', 'lig', 'vcs', 'troc']"
negative,"['aguard', 'retorn', 'urgent']"
negative,"['produt', 'pass', 'praz', 'entreg', 'tent', 'resolv', 'problem', 'empres', 'nã', 'consig', 'fal', 'ninguém', 'tud', 'faz', 'pass', 'reclam', 'sistem', 'nã', 'funcion']"
3,"['receb', 'produt', 'const', 'receb', 'dois', 'nã', 'receb', 'sapateir']"
negative,"['der', 'praz', 'grand', 'entreg', 'produt', 'nã', 'consegu', 'entreg', 'praz']"
negative,"['excelent', 'produt', 'indic', 'qualqu', 'pesso']"
positive,"['tud', 'certinh', 'entreg', 'praz', 'ótim']"
negative,"['nã', 'receb', 'produt', 'agor']"
3,"['cheg', 'amass']"
positive,['recom']
negative,"['compr', 'tapet', 'borrach', 'tr', 'mitsubish', 'loj', 'entreg', 'tapet', 'pvc', 'horrivel', 'titul', 'ta', 'tapet', 'borrach', 'tr', 'engan', 'agor', 'faz', 'send', 'despes', 'devoluça']"
positive,"['ótim', 'perfum', 'fragrânc', 'maravilh', 'recom']"
positive,"['boa', 'rap', 'produt', 'vei', 'bom', 'estad', 'agor', 'faz', 'test']"
positive,"['produt', 'super', 'expect', 'praz', 'entreg', 'antecip', 'dias', 'instal', 'fic', 'show']"
positive,"['previsã', 'entreg', 'receb', 'excelent']"
3,"['solicit', 'devolu', 'produt', 'defeit']"
